,path,label,pca_Features
22,s3://p8marionflore/Test/Pineapple/r_276_100.jpg,Pineapple,"[-6.166565208278549,6.547533362666756]"
23,s3://p8marionflore/Test/Lychee/314_100.jpg,Lychee,"[-3.967618211310495,4.905317233407412]"
24,s3://p8marionflore/Test/Beetroot/r_174_100.jpg,Beetroot,"[-1.5333357485101806,2.9259323055931477]"
25,s3://p8marionflore/Test/Nectarine/r_6_100.jpg,Nectarine,"[5.220007996901874,-0.6566703523429966]"
26,s3://p8marionflore/Test/Onion White/r2_180_100.jpg,Onion White,"[0.11279262960558475,1.438838351970259]"
27,s3://p8marionflore/Test/Pepper Orange/r_105_100.jpg,Pepper Orange,"[2.2576935557111844,1.5747181757201372]"
28,s3://p8marionflore/Test/Pear Red/r2_258_100.jpg,Pear Red,"[3.776195544435852,-1.406210847733797]"
29,s3://p8marionflore/Test/Pear Forelle/r_121_100.jpg,Pear Forelle,"[0.09797981661720159,-2.915752922141611]"
30,s3://p8marionflore/Test/Mandarine/r_53_100.jpg,Mandarine,"[1.6434097636248368,-3.372052083642972]"
31,s3://p8marionflore/Test/Pear 2/r_269_100.jpg,Pear 2,"[5.282737649410228,-4.076751277535733]"
32,s3://p8marionflore/Test/Lychee/r_193_100.jpg,Lychee,"[-4.7591861257467745,2.4992427221673914]"
33,s3://p8marionflore/Test/Pear Forelle/r_141_100.jpg,Pear Forelle,"[-0.48807637672416637,-1.820790840870234]"
34,s3://p8marionflore/Test/Beetroot/r2_75_100.jpg,Beetroot,"[0.3891761011826913,6.599314121817119]"
35,s3://p8marionflore/Test/Cantaloupe 1/r_82_100.jpg,Cantaloupe 1,"[0.8048564538239958,-2.813728811862066]"
36,s3://p8marionflore/Test/Pear Forelle/228_100.jpg,Pear Forelle,"[1.1951552172383921,1.7735961008926353]"
37,s3://p8marionflore/Test/Nectarine/61_100.jpg,Nectarine,"[6.193541545175059,0.24495355001376953]"
38,s3://p8marionflore/Test/Pear Forelle/203_100.jpg,Pear Forelle,"[1.7090886497490312,1.0317228307307913]"
39,s3://p8marionflore/Test/Pear Red/r_135_100.jpg,Pear Red,"[5.672702849508547,-1.0703332678060606]"
40,s3://p8marionflore/Test/Pear Red/r_295_100.jpg,Pear Red,"[5.801537036503715,-2.1517628975124237]"
41,s3://p8marionflore/Test/Beetroot/r2_72_100.jpg,Beetroot,"[-0.8184951406149337,6.213780646809189]"
42,s3://p8marionflore/Test/Pear Red/r_291_100.jpg,Pear Red,"[6.034917799760444,-2.1034820352533283]"
43,s3://p8marionflore/Test/Pear 2/r_231_100.jpg,Pear 2,"[-0.14557310454920488,-5.244210246771117]"
44,s3://p8marionflore/Test/Pear Forelle/r2_173_100.jpg,Pear Forelle,"[-1.776287635780839,-3.8344638480236632]"
45,s3://p8marionflore/Test/Pear 2/r2_136_100.jpg,Pear 2,"[-2.0455774275805374,-4.723274143159048]"
46,s3://p8marionflore/Test/Pear 2/r2_116_100.jpg,Pear 2,"[0.9301127993109839,-3.9727662232912677]"
47,s3://p8marionflore/Test/Orange/95_100.jpg,Orange,"[4.5340728507852415,-4.569875708328604]"
48,s3://p8marionflore/Test/Pear Forelle/r2_14_100.jpg,Pear Forelle,"[0.833992058491405,0.007421867059382496]"
49,s3://p8marionflore/Test/Pear 2/r2_122_100.jpg,Pear 2,"[-0.4012078052301141,-5.352709318538299]"
50,s3://p8marionflore/Test/Limes/r_47_100.jpg,Limes,"[-0.7172652639214133,-4.8651777918161825]"
51,s3://p8marionflore/Test/Beetroot/r2_99_100.jpg,Beetroot,"[1.0337059427270858,5.2740789990107935]"
52,s3://p8marionflore/Test/Pear Forelle/r2_147_100.jpg,Pear Forelle,"[0.152133909675923,-3.383190312483691]"
53,s3://p8marionflore/Test/Limes/265_100.jpg,Limes,"[-1.952483461476804,-4.478356475938259]"
54,s3://p8marionflore/Test/Beetroot/r2_94_100.jpg,Beetroot,"[0.8281475649555581,4.569586948290633]"
55,s3://p8marionflore/Test/Pineapple/r_109_100.jpg,Pineapple,"[-4.062294740340121,3.2624152589022493]"
56,s3://p8marionflore/Test/Apple Braeburn/r_321_100.jpg,Apple Braeburn,"[10.968723344079752,-0.19765054736942295]"
57,s3://p8marionflore/Test/Lychee/r_23_100.jpg,Lychee,"[-3.331894505598813,4.071078035002758]"
58,s3://p8marionflore/Test/Limes/120_100.jpg,Limes,"[-0.7360191708958319,-5.7666576671666405]"
59,s3://p8marionflore/Test/Cocos/r_159_100.jpg,Cocos,"[-3.0658573497484967,9.587531853277273]"
60,s3://p8marionflore/Test/Orange/r_4_100.jpg,Orange,"[3.3641235267775915,-3.4374145422234683]"
61,s3://p8marionflore/Test/Cantaloupe 1/125_100.jpg,Cantaloupe 1,"[0.004535735530853404,-4.2237991813998095]"
62,s3://p8marionflore/Test/Cantaloupe 1/93_100.jpg,Cantaloupe 1,"[0.47561834903401917,-4.375350918082823]"
63,s3://p8marionflore/Test/Onion Red Peeled/198_100.jpg,Onion Red Peeled,"[3.5179320352304626,3.596308342043608]"
64,s3://p8marionflore/Test/Pear 2/r2_94_100.jpg,Pear 2,"[1.9768853541469296,-4.4808260573301]"
65,s3://p8marionflore/Test/Mandarine/198_100.jpg,Mandarine,"[1.172581809726959,-4.440869308928411]"
66,s3://p8marionflore/Test/Apple Red 3/50_100.jpg,Apple Red 3,"[4.185984206888935,1.7306184532856999]"
67,s3://p8marionflore/Test/Cocos/r_51_100.jpg,Cocos,"[-2.9632651957588583,6.988423756316042]"
68,s3://p8marionflore/Test/Apple Red 3/49_100.jpg,Apple Red 3,"[3.8690882980748453,0.8817514723035648]"
69,s3://p8marionflore/Test/Pear 2/r_86_100.jpg,Pear 2,"[1.6876485129144856,-1.4535476841375397]"
70,s3://p8marionflore/Test/Cocos/r_172_100.jpg,Cocos,"[-3.1644659538915345,8.212509434193082]"
71,s3://p8marionflore/Test/Pomegranate/88_100.jpg,Pomegranate,"[8.272282443146096,0.9943798681244495]"
72,s3://p8marionflore/Test/Walnut/74_100.jpg,Walnut,"[-3.6840842660112014,7.432681613299897]"
73,s3://p8marionflore/Test/Apple Red 3/r_73_100.jpg,Apple Red 3,"[4.327753788844285,2.486674480236687]"
74,s3://p8marionflore/Test/Nectarine/r_79_100.jpg,Nectarine,"[8.586482053737459,3.5117879908037257]"
75,s3://p8marionflore/Test/Onion Red Peeled/199_100.jpg,Onion Red Peeled,"[3.422855789258872,4.39702392031016]"
76,s3://p8marionflore/Test/Orange/49_100.jpg,Orange,"[4.7762261544283495,-4.0453200380032746]"
77,s3://p8marionflore/Test/Nectarine Flat/r_7_100.jpg,Nectarine Flat,"[10.511338022470891,2.4598019985196746]"
78,s3://p8marionflore/Test/Apple Red Yellow 1/325_100.jpg,Apple Red Yellow 1,"[8.848416889378145,0.35053163972143336]"
79,s3://p8marionflore/Test/Onion Red Peeled/r2_168_100.jpg,Onion Red Peeled,"[2.680280236374808,2.7079532165804565]"
80,s3://p8marionflore/Test/Limes/141_100.jpg,Limes,"[-0.1969211211392407,-5.622838485345897]"
81,s3://p8marionflore/Test/Limes/r_75_100.jpg,Limes,"[-0.6769945770670338,-4.310770407230065]"
82,s3://p8marionflore/Test/Orange/65_100.jpg,Orange,"[3.7909083615343513,-4.648680103014111]"
83,s3://p8marionflore/Test/Cocos/4_100.jpg,Cocos,"[-2.588411410841707,8.990089905781039]"
84,s3://p8marionflore/Test/Apple Red Yellow 1/r_3_100.jpg,Apple Red Yellow 1,"[2.034752194327391,-2.430776184728215]"
85,s3://p8marionflore/Test/Onion White/122_100.jpg,Onion White,"[-0.2351889875761405,0.03263756805906638]"
86,s3://p8marionflore/Test/Limes/r_72_100.jpg,Limes,"[-0.9363691697242704,-4.5459203123394625]"
87,s3://p8marionflore/Test/Apple Red 3/r_83_100.jpg,Apple Red 3,"[3.984978816608561,2.666505567420781]"
88,s3://p8marionflore/Test/Apple Red 1/4_100.jpg,Apple Red 1,"[1.4539608331768885,0.19577952859717318]"
89,s3://p8marionflore/Test/Pear Red/248_100.jpg,Pear Red,"[2.9183932215135706,-1.0224922160692744]"
90,s3://p8marionflore/Test/Pomegranate/97_100.jpg,Pomegranate,"[9.64951059894198,2.545568877260787]"
91,s3://p8marionflore/Test/Plum/92_100.jpg,Plum,"[-0.11545439362210543,10.182591550684775]"
92,s3://p8marionflore/Test/Rambutan/r_253_100.jpg,Rambutan,"[-3.0200324555298126,10.113372210579788]"
93,s3://p8marionflore/Test/Rambutan/r_126_100.jpg,Rambutan,"[-3.1160963991598303,9.677168791454037]"
94,s3://p8marionflore/Test/Apple Golden 1/r_37_100.jpg,Apple Golden 1,"[-1.7785120040879125,-5.087383746844741]"
95,s3://p8marionflore/Test/Apple Golden 1/r_47_100.jpg,Apple Golden 1,"[-1.6233869104439929,-4.2440426322623]"
96,s3://p8marionflore/Test/Onion Red Peeled/r_190_100.jpg,Onion Red Peeled,"[4.534141715459675,3.6325581484916354]"
97,s3://p8marionflore/Test/Plum/83_100.jpg,Plum,"[0.03596308348084347,9.718109946424395]"
98,s3://p8marionflore/Test/Plum/74_100.jpg,Plum,"[-0.881034951647294,10.64257930282753]"
99,s3://p8marionflore/Test/Pear Red/214_100.jpg,Pear Red,"[0.8021447897646471,-2.2424970800101325]"
100,s3://p8marionflore/Test/Plum 2/r_88_100.jpg,Plum 2,"[9.65179055471554,7.224588874242712]"
101,s3://p8marionflore/Test/Rambutan/r_197_100.jpg,Rambutan,"[-1.8718472759059217,7.8119899855144395]"
102,s3://p8marionflore/Test/Apple Red 3/r_86_100.jpg,Apple Red 3,"[3.1284525207629788,3.5377534929588466]"
103,s3://p8marionflore/Test/Corn/r2_159_100.jpg,Corn,"[-4.03281713035971,3.5556504101178223]"
104,s3://p8marionflore/Test/Guava/111_100.jpg,Guava,"[-0.773118592178415,-1.9884809810797777]"
105,s3://p8marionflore/Test/Pepper Orange/92_100.jpg,Pepper Orange,"[4.593660923753342,2.76922602171677]"
106,s3://p8marionflore/Test/Walnut/323_100.jpg,Walnut,"[-4.406120367540129,6.286893821360658]"
107,s3://p8marionflore/Test/Apple Red 1/r_55_100.jpg,Apple Red 1,"[2.208127351846413,0.7853803285167703]"
108,s3://p8marionflore/Test/Plum/66_100.jpg,Plum,"[-1.0450654852523387,10.61835767873234]"
109,s3://p8marionflore/Test/Peach/r_40_100.jpg,Peach,"[7.874892198991942,-0.005450910024330518]"
110,s3://p8marionflore/Test/Peach/r_61_100.jpg,Peach,"[6.346468225210969,1.0158123306623332]"
111,s3://p8marionflore/Test/Kiwi/r_322_100.jpg,Kiwi,"[-1.4703399259556997,0.713291050621182]"
112,s3://p8marionflore/Test/Apple Red Yellow 1/r_40_100.jpg,Apple Red Yellow 1,"[0.6411081878325005,-3.3647706603911494]"
113,s3://p8marionflore/Test/Guava/40_100.jpg,Guava,"[-0.7260703522968467,-1.8793619393376608]"
114,s3://p8marionflore/Test/Mangostan/40_100.jpg,Mangostan,"[0.6148123874071698,4.8886508902106405]"
115,s3://p8marionflore/Test/Pear 2/r_285_100.jpg,Pear 2,"[8.256932459808098,-1.4690292629676942]"
116,s3://p8marionflore/Test/Tomato Heart/r_37_100.jpg,Tomato Heart,"[6.2266852798535375,9.74092896200224]"
117,s3://p8marionflore/Test/Cucumber Ripe/226_100.jpg,Cucumber Ripe,"[-0.35787372475555024,5.210942819783873]"
118,s3://p8marionflore/Test/Apple Crimson Snow/142_100.jpg,Apple Crimson Snow,"[9.85646816811942,-0.0697291824243504]"
119,s3://p8marionflore/Test/Tomato Heart/r2_14_100.jpg,Tomato Heart,"[7.566465568347405,7.240735502029035]"
120,s3://p8marionflore/Test/Guava/48_100.jpg,Guava,"[-1.5020032439850317,-1.9274179214375902]"
121,s3://p8marionflore/Test/Apple Braeburn/r_55_100.jpg,Apple Braeburn,"[10.617294868396508,0.033338352614515905]"
122,s3://p8marionflore/Test/Mangostan/45_100.jpg,Mangostan,"[2.5953673230316965,4.857628387748878]"
123,s3://p8marionflore/Test/Strawberry/70_100.jpg,Strawberry,"[1.2906891909903524,5.1773367301520095]"
124,s3://p8marionflore/Test/Apple Red 2/r_48_100.jpg,Apple Red 2,"[11.440188636288374,3.252681694041477]"
125,s3://p8marionflore/Test/Apple Crimson Snow/83_100.jpg,Apple Crimson Snow,"[7.247736733826042,-1.3606492428373527]"
126,s3://p8marionflore/Test/Nectarine/326_100.jpg,Nectarine,"[12.31579040805768,2.318785713978973]"
127,s3://p8marionflore/Test/Walnut/r_280_100.jpg,Walnut,"[-1.9817668579622898,9.073041777656154]"
128,s3://p8marionflore/Test/Pepper Orange/105_100.jpg,Pepper Orange,"[3.5312622182417726,2.9345841119893246]"
129,s3://p8marionflore/Test/Mangostan/163_100.jpg,Mangostan,"[5.004231287274666,4.8577170249243915]"
130,s3://p8marionflore/Test/Apple Red 1/326_100.jpg,Apple Red 1,"[3.4268645249603527,1.068399990654258]"
131,s3://p8marionflore/Test/Tomato not Ripened/r_308_100.jpg,Tomato not Ripened,"[0.06661212419718497,4.447602855717738]"
132,s3://p8marionflore/Test/Melon Piel de Sapo/r2_278_100.jpg,Melon Piel de Sapo,"[-3.7472202848606693,8.473310352000961]"
133,s3://p8marionflore/Test/Strawberry/r_48_100.jpg,Strawberry,"[-3.1396181076886975,3.807804766471895]"
134,s3://p8marionflore/Test/Pepper Red/r2_203_100.jpg,Pepper Red,"[7.9295422644502995,7.240844456952743]"
135,s3://p8marionflore/Test/Walnut/r_311_100.jpg,Walnut,"[-2.2484767277694244,8.499034013309128]"
136,s3://p8marionflore/Test/Pepper Orange/91_100.jpg,Pepper Orange,"[6.728708803252827,3.5814566078886845]"
137,s3://p8marionflore/Test/Nectarine/322_100.jpg,Nectarine,"[13.187485005974057,3.2788243226484988]"
138,s3://p8marionflore/Test/Apple Crimson Snow/88_100.jpg,Apple Crimson Snow,"[7.544015922806343,-1.3967805674026879]"
139,s3://p8marionflore/Test/Apple Red Yellow 1/70_100.jpg,Apple Red Yellow 1,"[2.716000489970415,-2.0169611054521717]"
140,s3://p8marionflore/Test/Kiwi/48_100.jpg,Kiwi,"[-3.3184387061943323,4.23107991137463]"
141,s3://p8marionflore/Test/Avocado/r_57_100.jpg,Avocado,"[-0.3986602927741186,8.239753941867919]"
142,s3://p8marionflore/Test/Strawberry/r_99_100.jpg,Strawberry,"[-4.222508088080071,6.757879283702525]"
143,s3://p8marionflore/Test/Mangostan/r_126_100.jpg,Mangostan,"[1.5926823544949342,7.03689108851166]"
144,s3://p8marionflore/Test/Walnut/r2_217_100.jpg,Walnut,"[-3.139669380211531,8.901296458481218]"
145,s3://p8marionflore/Test/Strawberry/r_77_100.jpg,Strawberry,"[-3.9515022028537032,3.2377870459933886]"
146,s3://p8marionflore/Test/Potato White/r_37_100.jpg,Potato White,"[-4.005943563458352,0.9827951093199102]"
147,s3://p8marionflore/Test/Tomato Heart/78_100.jpg,Tomato Heart,"[9.635839822268167,7.445070930189379]"
148,s3://p8marionflore/Test/Tomato Heart/r_30_100.jpg,Tomato Heart,"[7.195441642678922,8.591260904315341]"
149,s3://p8marionflore/Test/Mangostan/144_100.jpg,Mangostan,"[5.040049423192344,4.607782437607607]"
150,s3://p8marionflore/Test/Apple Red 1/54_100.jpg,Apple Red 1,"[4.21731008117986,-0.11644529250412879]"
151,s3://p8marionflore/Test/Plum/r_6_100.jpg,Plum,"[7.135479662114162,7.629691458289157]"
152,s3://p8marionflore/Test/Strawberry/r_90_100.jpg,Strawberry,"[-4.218339331977683,4.490440953283976]"
153,s3://p8marionflore/Test/Apple Red 1/51_100.jpg,Apple Red 1,"[4.370852697442995,-0.028924616158730522]"
154,s3://p8marionflore/Test/Guava/r_280_100.jpg,Guava,"[-0.956534170347304,-0.5147217577668785]"
155,s3://p8marionflore/Test/Potato White/104_100.jpg,Potato White,"[-4.543984535869617,0.24800021702055478]"
156,s3://p8marionflore/Test/Mangostan/156_100.jpg,Mangostan,"[4.679446750637987,4.35516932257497]"
157,s3://p8marionflore/Test/Guava/r_259_100.jpg,Guava,"[-1.2026815607500263,0.9237800974784476]"
158,s3://p8marionflore/Test/Mango Red/r_37_100.jpg,Mango Red,"[7.529445118431818,1.5099805946273188]"
159,s3://p8marionflore/Test/Mango Red/241_100.jpg,Mango Red,"[9.354820116140356,1.9411550680668508]"
160,s3://p8marionflore/Test/Huckleberry/r_221_100.jpg,Huckleberry,"[5.146374650600015,10.458868298800432]"
161,s3://p8marionflore/Test/Potato Sweet/r2_84_100.jpg,Potato Sweet,"[-1.8585649027123043,3.923007035590679]"
162,s3://p8marionflore/Test/Tomato Heart/r2_257_100.jpg,Tomato Heart,"[5.905484567199875,7.517427360567092]"
163,s3://p8marionflore/Test/Plum/r_83_100.jpg,Plum,"[5.358750973959273,10.007022571810435]"
164,s3://p8marionflore/Test/Melon Piel de Sapo/r2_269_100.jpg,Melon Piel de Sapo,"[-3.780923791217009,10.157040213010594]"
165,s3://p8marionflore/Test/Physalis with Husk/12_100.jpg,Physalis with Husk,"[-5.217310748145605,3.719790864893392]"
166,s3://p8marionflore/Test/Plum/r_74_100.jpg,Plum,"[5.69222038964989,9.118658883017366]"
167,s3://p8marionflore/Test/Pepper Red/r2_173_100.jpg,Pepper Red,"[10.555322391041885,6.898805486522186]"
168,s3://p8marionflore/Test/Pepper Red/r_254_100.jpg,Pepper Red,"[6.197062744602857,3.4073467227351766]"
169,s3://p8marionflore/Test/Mango Red/r_192_100.jpg,Mango Red,"[11.85358087719262,2.8077811137386224]"
170,s3://p8marionflore/Test/Pepper Orange/115_100.jpg,Pepper Orange,"[2.6629242180331874,3.502845575481677]"
171,s3://p8marionflore/Test/Apricot/r_36_100.jpg,Apricot,"[5.173115911729776,-1.8751000378556557]"
172,s3://p8marionflore/Test/Pepper Red/r2_170_100.jpg,Pepper Red,"[10.301833814012815,6.705402015894222]"
173,s3://p8marionflore/Test/Pepper Red/249_100.jpg,Pepper Red,"[7.553650050663252,6.9275226016686435]"
174,s3://p8marionflore/Test/Tomato not Ripened/180_100.jpg,Tomato not Ripened,"[2.9868727646558515,5.330993704225744]"
175,s3://p8marionflore/Test/Potato White/r_58_100.jpg,Potato White,"[-3.2373035492901736,1.0684700075790619]"
176,s3://p8marionflore/Test/Strawberry Wedge/r_253_100.jpg,Strawberry Wedge,"[-1.2646927081870287,5.297529662885429]"
177,s3://p8marionflore/Test/Pepper Red/r_33_100.jpg,Pepper Red,"[7.73185444613536,6.973147803941616]"
178,s3://p8marionflore/Test/Onion Red/186_100.jpg,Onion Red,"[3.2722385575485986,4.506947771788815]"
179,s3://p8marionflore/Test/Pitahaya Red/305_100.jpg,Pitahaya Red,"[0.8795327157581785,7.966755104787123]"
180,s3://p8marionflore/Test/Grapefruit White/r_38_100.jpg,Grapefruit White,"[2.7764956175458946,-7.997510562644324]"
181,s3://p8marionflore/Test/Mango Red/r_209_100.jpg,Mango Red,"[12.867467463057348,2.6420433965210974]"
182,s3://p8marionflore/Test/Fig/r2_108_100.jpg,Fig,"[0.8881428823315249,4.699800759769576]"
183,s3://p8marionflore/Test/Mango Red/r_195_100.jpg,Mango Red,"[13.43964203457375,4.231153206174212]"
184,s3://p8marionflore/Test/Pepper Orange/r2_297_100.jpg,Pepper Orange,"[3.7875178042748963,3.604348302277266]"
185,s3://p8marionflore/Test/Lemon Meyer/61_100.jpg,Lemon Meyer,"[4.016573497431353,-7.2393493412200325]"
186,s3://p8marionflore/Test/Pepper Red/233_100.jpg,Pepper Red,"[8.083950843728841,6.5389144473713845]"
187,s3://p8marionflore/Test/Tangelo/247_100.jpg,Tangelo,"[10.483754349798886,-3.5540258929110564]"
188,s3://p8marionflore/Test/Grapefruit White/59_100.jpg,Grapefruit White,"[3.517135145402463,-7.272897493227819]"
189,s3://p8marionflore/Test/Grapefruit White/81_100.jpg,Grapefruit White,"[3.125705398523205,-6.836374666903547]"
190,s3://p8marionflore/Test/Pepper Red/r_18_100.jpg,Pepper Red,"[11.674024925375457,9.70162189997395]"
191,s3://p8marionflore/Test/Huckleberry/r_52_100.jpg,Huckleberry,"[3.7599703071125052,9.148075041333204]"
192,s3://p8marionflore/Test/Lemon Meyer/152_100.jpg,Lemon Meyer,"[4.372132218694062,-6.234669220419452]"
193,s3://p8marionflore/Test/Onion Red Peeled/11_100.jpg,Onion Red Peeled,"[6.4330805907536295,6.0584845193711905]"
194,s3://p8marionflore/Test/Grapefruit Pink/r_66_100.jpg,Grapefruit Pink,"[9.425833533100498,-6.390345893194112]"
195,s3://p8marionflore/Test/Physalis with Husk/36_100.jpg,Physalis with Husk,"[-5.533706409615975,2.913224019754238]"
196,s3://p8marionflore/Test/Mango Red/r_177_100.jpg,Mango Red,"[12.088034055514925,2.692299378869118]"
197,s3://p8marionflore/Test/Huckleberry/r_213_100.jpg,Huckleberry,"[5.531616074276628,10.701165554495068]"
198,s3://p8marionflore/Test/Fig/r_233_100.jpg,Fig,"[0.10782090864117505,4.729165188336733]"
199,s3://p8marionflore/Test/Grapefruit Pink/r_55_100.jpg,Grapefruit Pink,"[11.032155912446765,-6.025574166004195]"
200,s3://p8marionflore/Test/Apple Braeburn/38_100.jpg,Apple Braeburn,"[13.149041592802117,1.4881003120237606]"
201,s3://p8marionflore/Test/Nut Forest/r2_79_100.jpg,Nut Forest,"[3.5832104505997826,4.002481961964264]"
202,s3://p8marionflore/Test/Apple Braeburn/86_100.jpg,Apple Braeburn,"[13.422754534315896,1.4087769192880846]"
203,s3://p8marionflore/Test/Lemon Meyer/r_2_100.jpg,Lemon Meyer,"[4.881327411600427,-7.412144189832289]"
204,s3://p8marionflore/Test/Apple Braeburn/34_100.jpg,Apple Braeburn,"[12.93470876142508,1.8516958600506686]"
205,s3://p8marionflore/Test/Blueberry/r_214_100.jpg,Blueberry,"[3.3096013092048424,11.986138023917137]"
206,s3://p8marionflore/Test/Grapefruit Pink/r_214_100.jpg,Grapefruit Pink,"[10.077620344328436,-5.913299572757134]"
207,s3://p8marionflore/Test/Strawberry Wedge/121_100.jpg,Strawberry Wedge,"[0.16934096201320947,4.731414284093359]"
208,s3://p8marionflore/Test/Pepper Green/r_61_100.jpg,Pepper Green,"[2.1354485705207464,7.204747589634612]"
209,s3://p8marionflore/Test/Grapefruit Pink/r_181_100.jpg,Grapefruit Pink,"[11.33191182404222,-5.895931360738635]"
210,s3://p8marionflore/Test/Melon Piel de Sapo/r_158_100.jpg,Melon Piel de Sapo,"[-0.038445729332307735,8.200335920737245]"
211,s3://p8marionflore/Test/Physalis with Husk/195_100.jpg,Physalis with Husk,"[-6.2014833362555235,3.1272468035699275]"
212,s3://p8marionflore/Test/Papaya/81_100.jpg,Papaya,"[-0.06688168074951109,0.6595244171220127]"
213,s3://p8marionflore/Test/Apple Braeburn/89_100.jpg,Apple Braeburn,"[13.984480395917158,2.0086852508322166]"
214,s3://p8marionflore/Test/Nut Pecan/r2_155_100.jpg,Nut Pecan,"[1.7227445807198156,6.54609608634061]"
215,s3://p8marionflore/Test/Pepper Green/r_67_100.jpg,Pepper Green,"[3.7641211173200944,9.49010159322178]"
216,s3://p8marionflore/Test/Huckleberry/284_100.jpg,Huckleberry,"[3.5535339762261544,11.452052662489656]"
217,s3://p8marionflore/Test/Papaya/r_39_100.jpg,Papaya,"[-3.5852800058319336,5.943704928456216]"
218,s3://p8marionflore/Test/Apple Braeburn/66_100.jpg,Apple Braeburn,"[12.617634395374244,0.5919305913754578]"
219,s3://p8marionflore/Test/Corn/r2_75_100.jpg,Corn,"[-3.943296944798235,1.523088951136688]"
220,s3://p8marionflore/Test/Strawberry Wedge/r2_45_100.jpg,Strawberry Wedge,"[-1.7110079826428553,6.176171492973093]"
221,s3://p8marionflore/Test/Apple Golden 3/r_33_100.jpg,Apple Golden 3,"[-0.8241789610733383,-4.463959157035523]"
222,s3://p8marionflore/Test/Grapefruit Pink/r_210_100.jpg,Grapefruit Pink,"[10.05332684661057,-6.028280049351585]"
223,s3://p8marionflore/Test/Melon Piel de Sapo/r_142_100.jpg,Melon Piel de Sapo,"[-1.7496623513679959,9.785570542174883]"
224,s3://p8marionflore/Test/Pitahaya Red/r_138_100.jpg,Pitahaya Red,"[0.867653304067336,3.9855922483514443]"
225,s3://p8marionflore/Test/Huckleberry/278_100.jpg,Huckleberry,"[4.135624425151176,10.306727496356867]"
226,s3://p8marionflore/Test/Onion Red/r_34_100.jpg,Onion Red,"[-0.9124377821042502,8.346577688641492]"
227,s3://p8marionflore/Test/Strawberry Wedge/r2_34_100.jpg,Strawberry Wedge,"[-1.8919383201223638,7.632426304672814]"
228,s3://p8marionflore/Test/Onion Red/r_140_100.jpg,Onion Red,"[1.3065888194280242,4.51551552723422]"
229,s3://p8marionflore/Test/Huckleberry/0_100.jpg,Huckleberry,"[4.861570999403154,10.604302129802614]"
230,s3://p8marionflore/Test/Papaya/r_56_100.jpg,Papaya,"[-4.8554338943663495,3.66918493036694]"
231,s3://p8marionflore/Test/Fig/r2_265_100.jpg,Fig,"[5.2706725529406,10.03227690888177]"
232,s3://p8marionflore/Test/Apple Granny Smith/r_53_100.jpg,Apple Granny Smith,"[-0.28550667622188597,-2.648525518008315]"
